"","id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue","umpire1","umpire2","umpire3"
"164",169,2010,"Dharamsala",2010-04-18,"Kings XI Punjab","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Chennai Super Kings",0,6,"MS Dhoni","Himachal Pradesh Cricket Association Stadium","BF Bowden","AM Saheba",NA
"165",170,2010,"Delhi",2010-04-18,"Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","normal",0,"Deccan Chargers",11,0,"A Symonds","Feroz Shah Kotla","BR Doctrove","SK Tarapore",NA
"166",171,2010,"Kolkata",2010-04-19,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","bat","normal",0,"Kolkata Knight Riders",0,9,"M Kartik","Eden Gardens","BG Jerling","RE Koertzen",NA
"167",172,2010,"Mumbai",2010-04-21,"Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat","normal",0,"Mumbai Indians",35,0,"KA Pollard","Dr DY Patil Sports Academy","BR Doctrove","RB Tiffin",NA
"168",173,2010,"Mumbai",2010-04-22,"Chennai Super Kings","Deccan Chargers","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",38,0,"DE Bollinger","Dr DY Patil Sports Academy","BR Doctrove","RB Tiffin",NA
"169",174,2010,"Mumbai",2010-04-24,"Deccan Chargers","Royal Challengers Bangalore","Deccan Chargers","bat","normal",0,"Royal Challengers Bangalore",0,9,"A Kumble","Dr DY Patil Sports Academy","RE Koertzen","SJA Taufel",NA
"170",175,2010,"Mumbai",2010-04-25,"Chennai Super Kings","Mumbai Indians","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",22,0,"SK Raina","Dr DY Patil Sports Academy","RE Koertzen","SJA Taufel",NA
"171",176,2011,"Chennai",2011-04-08,"Chennai Super Kings","Kolkata Knight Riders","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",2,0,"S Anirudha","MA Chidambaram Stadium, Chepauk","BR Doctrove","PR Reiffel",NA
"172",177,2011,"Hyderabad",2011-04-09,"Deccan Chargers","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,8,"SK Trivedi","Rajiv Gandhi International Stadium, Uppal","RE Koertzen","SK Tarapore",NA
"173",178,2011,"Kochi",2011-04-09,"Kochi Tuskers Kerala","Royal Challengers Bangalore","Kochi Tuskers Kerala","bat","normal",0,"Royal Challengers Bangalore",0,6,"AB de Villiers","Nehru Stadium","HDPK Dharmasena","K Hariharan",NA
"174",179,2011,"Delhi",2011-04-10,"Delhi Daredevils","Mumbai Indians","Delhi Daredevils","bat","normal",0,"Mumbai Indians",0,8,"SL Malinga","Feroz Shah Kotla","AM Saheba","RB Tiffin",NA
"175",180,2011,"Mumbai",2011-04-10,"Kings XI Punjab","Pune Warriors","Kings XI Punjab","bat","normal",0,"Pune Warriors",0,7,"SB Wagh","Dr DY Patil Sports Academy","BR Doctrove","PR Reiffel",NA
"176",181,2011,"Kolkata",2011-04-11,"Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","bat","normal",0,"Kolkata Knight Riders",9,0,"JH Kallis","Eden Gardens","RE Koertzen","SK Tarapore",NA
"177",182,2011,"Jaipur",2011-04-12,"Delhi Daredevils","Rajasthan Royals","Delhi Daredevils","bat","normal",0,"Rajasthan Royals",0,6,"SK Warne","Sawai Mansingh Stadium","Aleem Dar","RB Tiffin",NA
"178",183,2011,"Bangalore",2011-04-12,"Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","normal",0,"Mumbai Indians",0,9,"SR Tendulkar","M Chinnaswamy Stadium","HDPK Dharmasena","AL Hill",NA
"179",184,2011,"Chandigarh",2011-04-13,"Chennai Super Kings","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,6,"PC Valthaty","Punjab Cricket Association Stadium, Mohali","Asad Rauf","SL Shastri",NA
"180",185,2011,"Mumbai",2011-04-13,"Kochi Tuskers Kerala","Pune Warriors","Kochi Tuskers Kerala","bat","normal",0,"Pune Warriors",0,4,"MD Mishra","Dr DY Patil Sports Academy","S Asnani","PR Reiffel",NA
"181",186,2011,"Hyderabad",2011-04-14,"Deccan Chargers","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Deccan Chargers",33,0,"DW Steyn","Rajiv Gandhi International Stadium, Uppal","RE Koertzen","S Ravi",NA
